standard_type,standard_rate,active_users,company_name,month,year
Telematics,0,0,A&G,January,2023
Accounting,0,0,A&G,January,2023
Bin Module,0,0,A&G,January,2023
Bin Monitoring,0,0,A&G,January,2023
SMS Delivery,0,0,A&G,January,2023
Routing,0,0,A&G,January,2023
Telematics,0,0,Custom Brands (Eclipse),January,2023
Accounting,0,0,Custom Brands (Eclipse),January,2023
Bin Module,0,0,Custom Brands (Eclipse),January,2023
Bin Monitoring,0,0,Custom Brands (Eclipse),January,2023
SMS Delivery,0,0,Custom Brands (Eclipse),January,2023
Routing,0,0,Custom Brands (Eclipse),January,2023
Telematics,0,0,Eastwing,January,2023
Accounting,0,0,Eastwing,January,2023
Bin Module,0,0,Eastwing,January,2023
Bin Monitoring,0,0,Eastwing,January,2023
SMS Delivery,0,0,Eastwing,January,2023
Routing,0,0,Eastwing,January,2023
Telematics,0,0,LUMAR Fire,January,2023
Accounting,0,0,LUMAR Fire,January,2023
Bin Module,0,0,LUMAR Fire,January,2023
Bin Monitoring,0,0,LUMAR Fire,January,2023
SMS Delivery,0,0,LUMAR Fire,January,2023
Routing,0,0,LUMAR Fire,January,2023
Telematics,0,0,MC Mech,January,2023
Accounting,0,0,MC Mech,January,2023
Bin Module,0,0,MC Mech,January,2023
Bin Monitoring,0,0,MC Mech,January,2023
SMS Delivery,0,0,MC Mech,January,2023
Routing,0,0,MC Mech,January,2023
Telematics,13.44,35,Mobile Mech,January,2023
Accounting,280.00,1,Mobile Mech,January,2023
Bin Monitoring,289.32,1,Daniels,January,2023
SMS Delivery,5.00,1,Daniels,January,2023
Bin Module,112.00,1,Talize Inc,January,2023
Bin Monitoring,11.20,40,Talize Inc,January,2023
Routing,16.80,4,Talize Inc,January,2023
Telematics,22.00,3,Goodmark,January,2023
Telematics,0,0,A&G,December,2022
Accounting,0,0,A&G,December,2022
Bin Module,0,0,A&G,December,2022
Bin Monitoring,0,0,A&G,December,2022
SMS Delivery,0,0,A&G,December,2022
Routing,0,0,A&G,December,2022
Telematics,0,0,Custom Brands (Eclipse),December,2022
Accounting,0,0,Custom Brands (Eclipse),December,2022
Bin Module,0,0,Custom Brands (Eclipse),December,2022
Bin Monitoring,0,0,Custom Brands (Eclipse),December,2022
SMS Delivery,0,0,Custom Brands (Eclipse),December,2022
Routing,0,0,Custom Brands (Eclipse),December,2022
Telematics,0,0,Eastwing,December,2022
Accounting,0,0,Eastwing,December,2022
Bin Module,0,0,Eastwing,December,2022
Bin Monitoring,0,0,Eastwing,December,2022
SMS Delivery,0,0,Eastwing,December,2022
Routing,0,0,Eastwing,December,2022
Telematics,0,0,LUMAR Fire,December,2022
Accounting,0,0,LUMAR Fire,December,2022
Bin Module,0,0,LUMAR Fire,December,2022
Bin Monitoring,0,0,LUMAR Fire,December,2022
SMS Delivery,0,0,LUMAR Fire,December,2022
Routing,0,0,LUMAR Fire,December,2022
Telematics,0,0,MC Mech,December,2022
Accounting,0,0,MC Mech,December,2022
Bin Module,0,0,MC Mech,December,2022
Bin Monitoring,0,0,MC Mech,December,2022
SMS Delivery,0,0,MC Mech,December,2022
Routing,0,0,MC Mech,December,2022
Telematics,13.44,35,Mobile Mech,December,2022
Accounting,280.00,1,Mobile Mech,December,2022
Bin Monitoring,289.32,1,Daniels,December,2022
SMS Delivery,5.00,1,Daniels,December,2022
Bin Module,112.00,1,Talize Inc,December,2022
Bin Monitoring,11.20,40,Talize Inc,December,2022
Routing,16.80,4,Talize Inc,December,2022
Telematics,22.00,3,Goodmark,December,2022
Telematics,0,0,A&G,November,2022
Accounting,0,0,A&G,November,2022
Bin Module,0,0,A&G,November,2022
Bin Monitoring,0,0,A&G,November,2022
SMS Delivery,0,0,A&G,November,2022
Routing,0,0,A&G,November,2022
Telematics,0,0,Custom Brands (Eclipse),November,2022
Accounting,0,0,Custom Brands (Eclipse),November,2022
Bin Module,0,0,Custom Brands (Eclipse),November,2022
Bin Monitoring,0,0,Custom Brands (Eclipse),November,2022
SMS Delivery,0,0,Custom Brands (Eclipse),November,2022
Routing,0,0,Custom Brands (Eclipse),November,2022
Telematics,0,0,Eastwing,November,2022
Accounting,0,0,Eastwing,November,2022
Bin Module,0,0,Eastwing,November,2022
Bin Monitoring,0,0,Eastwing,November,2022
SMS Delivery,0,0,Eastwing,November,2022
Routing,0,0,Eastwing,November,2022
Telematics,0,0,LUMAR Fire,November,2022
Accounting,0,0,LUMAR Fire,November,2022
Bin Module,0,0,LUMAR Fire,November,2022
Bin Monitoring,0,0,LUMAR Fire,November,2022
SMS Delivery,0,0,LUMAR Fire,November,2022
Routing,0,0,LUMAR Fire,November,2022
Telematics,0,0,MC Mech,November,2022
Accounting,0,0,MC Mech,November,2022
Bin Module,0,0,MC Mech,November,2022
Bin Monitoring,0,0,MC Mech,November,2022
SMS Delivery,0,0,MC Mech,November,2022
Routing,0,0,MC Mech,November,2022
Telematics,13.44,35,Mobile Mech,November,2022
Accounting,280.00,1,Mobile Mech,November,2022
Bin Monitoring,289.32,1,Daniels,November,2022
SMS Delivery,5.00,1,Daniels,November,2022
Bin Module,112.00,1,Talize Inc,November,2022
Bin Monitoring,11.20,40,Talize Inc,November,2022
Routing,16.80,4,Talize Inc,November,2022
Telematics,22.00,3,Goodmark,November,2022